ticker,date,predicted_return,lower_bound_return,bound_width
TCS.NS,2026-04-26,-0.0819,-0.0857,0.0065
TCS.NS,2026-04-27,-0.0809,-0.0846,0.0065
TCS.NS,2026-04-28,-0.092,-0.0957,0.0064
TCS.NS,2026-04-29,-0.0917,-0.0954,0.0064
TCS.NS,2026-04-30,-0.0917,-0.0954,0.0064
TCS.NS,2026-05-03,-0.0758,-0.0796,0.0065
TCS.NS,2026-05-04,-0.0743,-0.0781,0.0065
TCS.NS,2026-05-05,-0.0774,-0.0811,0.0065
TCS.NS,2026-05-06,-0.0643,-0.0681,0.0066
TCS.NS,2026-05-07,-0.0616,-0.0654,0.0066
TCS.NS,2026-05-10,-0.061,-0.0648,0.0066
TCS.NS,2026-05-11,-0.0232,-0.0272,0.0069
TCS.NS,2026-05-12,-0.0113,-0.0154,0.007
TCS.NS,2026-05-13,0.0005,-0.0036,0.0071
TCS.NS,2026-05-14,-0.0075,-0.0116,0.007
TCS.NS,2026-05-17,-0.0158,-0.0199,0.0069
TCS.NS,2026-05-18,-0.0344,-0.0384,0.0068
TCS.NS,2026-05-19,-0.0345,-0.0385,0.0068
TCS.NS,2026-05-20,-0.0345,-0.0384,0.0068
TCS.NS,2026-05-21,-0.0303,-0.0343,0.0068
TCS.NS,2026-05-24,-0.0395,-0.0435,0.0068
HDFCBANK.NS,2025-05-22,-0.1947,-0.1963,0.0022
HDFCBANK.NS,2025-05-25,-0.1974,-0.1991,0.0022
HDFCBANK.NS,2025-05-26,-0.1916,-0.1933,0.0022
HDFCBANK.NS,2025-05-27,-0.1904,-0.1921,0.0022
HDFCBANK.NS,2025-05-28,-0.1921,-0.1938,0.0022
HDFCBANK.NS,2025-05-29,-0.1993,-0.201,0.0022
HDFCBANK.NS,2025-06-01,-0.194,-0.1957,0.0022
HDFCBANK.NS,2025-06-02,-0.1909,-0.1926,0.0022
HDFCBANK.NS,2025-06-03,-0.1978,-0.1995,0.0022
HDFCBANK.NS,2025-06-04,-0.2013,-0.2029,0.0022
HDFCBANK.NS,2025-06-05,-0.213,-0.2147,0.0022
